method,bucket,delta_mean,delta_lo,delta_hi,improved_mean,improved_lo,improved_hi,n
bon_panel_single_nli,47.5,23.008634401272438,22.383083390138605,23.67692569870484,0.7920927062031357,0.7804930697568734,0.8031271301976823,8802
bon_panel_single_nli,52.5,19.485858585858587,18.81513748597082,20.075123456790124,0.7498316498316498,0.7370314253647587,0.7620679012345679,8910
bon_panel_single_nli,57.5,17.173005219985086,16.547697613721102,17.74311148396719,0.7233407904548844,0.7092903305990554,0.7370277156350982,8046
bon_panel_single_nli,62.5,13.789010649791635,13.162700237845394,14.417481776951746,0.6891495601173021,0.6734542697220222,0.7057098765432098,6479
bon_panel_single_nli,67.5,13.17544864452081,12.657822642229858,13.728393470790378,0.699885452462772,0.6847985872470408,0.7166857579228714,5238
bon_panel_single_nli,72.5,11.52065527065527,11.079457502374169,11.994848053181387,0.7158119658119658,0.7013235992402659,0.730787037037037,4212
bon_panel_single_nli,77.5,7.37936507936508,6.906541005291006,7.822969576719577,0.620899470899471,0.6068716931216932,0.6349272486772486,3780
bon_panel_single_nli,82.5,4.833333333333333,4.5208815586419755,5.1091242283950615,0.5856481481481481,0.5686728395061729,0.6010898919753086,2592
bon_panel_single_nli,87.5,0.37991021324354657,-0.0847222222222222,0.8024971941638608,0.3176206509539843,0.29851290684624016,0.34176487093153757,1782
bon_panel_single_nli,92.5,-0.5277777777777778,-0.9444444444444444,-0.19444444444444445,0.037037037037037035,0.009259259259259259,0.06504629629629609,108
grpo_400step,17.5,47.43981481481482,45.07251157407408,50.153761574074075,0.9768518518518519,0.9629340277777777,0.9895833333333334,864
grpo_400step,22.5,42.60493827160494,41.34016754850089,44.09320987654321,0.966931216931217,0.9576719576719577,0.9766424162257495,2268
grpo_400step,27.5,40.26402918069585,39.01987233445567,41.46327160493827,0.9377104377104377,0.9259259259259259,0.9475308641975309,3564
grpo_400step,32.5,37.48462962962963,36.59699537037037,38.36625925925926,0.9283333333333333,0.9183287037037037,0.9375925925925926,5400
grpo_400step,37.5,33.70897320084312,32.83681496537187,34.48191056910569,0.9057512797350196,0.8958145137006925,0.9144873532068654,6642
grpo_400step,42.5,30.992866975347265,30.389505810089904,31.653955204422193,0.877737454636466,0.8692274721921988,0.8857635318806479,7991
grpo_400step,47.5,28.579072937968643,28.065817427857308,29.19499545557828,0.8709384230856624,0.8623011815496479,0.8802544876164508,8802
grpo_400step,52.5,25.187991021324354,24.656228956228958,25.758094837261503,0.8503928170594838,0.8406257014590347,0.8606060606060606,8910
grpo_400step,57.5,21.608203853325048,21.047650714729645,22.151413921690487,0.8093225605966439,0.7976572209793686,0.820786726323639,8045
grpo_400step,62.5,17.789197530864197,17.259378858024693,18.373715277777777,0.7762345679012346,0.7625,0.7898263888888889,6480
grpo_400step,67.5,16.33358793202215,15.801747183502005,16.84106905876425,0.7811724269620012,0.7678973142048793,0.7945446115667567,5237
grpo_400step,72.5,14.039411206077872,13.598646723646723,14.41929012345679,0.7770655270655271,0.7630579297245964,0.7889363722697056,4212
grpo_400step,77.5,9.16984126984127,8.76,9.579669312169312,0.6724867724867725,0.6597883597883598,0.6859854497354497,3780
grpo_400step,82.5,6.034336419753086,5.753443287037038,6.323418209876543,0.6446759259259259,0.6327064043209877,0.658179012345679,2592
grpo_400step,87.5,1.4960718294051627,1.0816919191919192,1.8873597081930413,0.39337822671156003,0.37370931537598207,0.4119388327721661,1782
grpo_400step,92.5,0.018518518518518517,-0.2222222222222222,0.2962962962962963,0.09259259259259259,0.046296296296296294,0.1388888888888889,108
grpo_nli_400step,17.5,16.35185185185185,13.792100694444445,19.14939236111111,0.6793981481481481,0.6342303240740741,0.7176215277777778,864
grpo_nli_400step,22.5,17.484567901234566,15.95380291005291,18.838525132275134,0.7037037037037037,0.6789902998236331,0.7270833333333333,2268
grpo_nli_400step,27.5,18.671717171717173,17.313937991021326,19.857070707070704,0.702020202020202,0.6823723344556678,0.7239057239057239,3564
grpo_nli_400step,32.5,19.44037037037037,18.515115740740743,20.375444444444444,0.7264814814814815,0.7083333333333334,0.7425972222222222,5400
grpo_nli_400step,37.5,18.276422764227643,17.552928334838906,19.10732083709726,0.699488105992171,0.685034628124059,0.713794790725685,6642
grpo_nli_400step,42.5,18.698573573573572,18.034365615615613,19.49879567067067,0.6934434434434434,0.6811780530530531,0.7070820820820821,7992
grpo_nli_400step,47.5,18.585775960009087,17.851454214951147,19.33329640990684,0.6972279027493752,0.6827965235173824,0.7116706430356737,8802
grpo_nli_400step,52.5,17.58193041526375,16.938807519640854,18.170656565656564,0.7019079685746352,0.6893237934904601,0.714817620650954,8910
grpo_nli_400step,57.5,15.863037534178474,15.266902808849117,16.592881556052696,0.6886651752423565,0.6741206810837683,0.7035825254784986,8046
grpo_nli_400step,62.5,12.90679012345679,12.259463734567902,13.57616512345679,0.6580246913580247,0.6398032407407408,0.675324074074074,6480
grpo_nli_400step,67.5,12.933753340969837,12.359101756395571,13.424016800305461,0.6861397479954181,0.6687619320351279,0.701627529591447,5238
grpo_nli_400step,72.5,11.872744539411206,11.419842117758783,12.291951566951568,0.7098765432098766,0.6944207027540361,0.7255519943019942,4212
grpo_nli_400step,77.5,8.048148148148147,7.560410052910053,8.540588624338623,0.6182539682539683,0.60369708994709,0.6335978835978836,3780
grpo_nli_400step,82.5,4.767361111111111,4.237847222222222,5.20925925925926,0.5825617283950617,0.5651716820987654,0.5983989197530865,2592
grpo_nli_400step,87.5,1.6874298540965207,1.3551346801346802,1.9770202020202015,0.36475869809203143,0.34285914702581366,0.38497474747474747,1782
